reference_date,source_observations,published_pending,age_assessable,median_days,p25_days,p75_days,p90_days,n_over_90,n_over_365,sha256
2024-06-24,1044,476,474,558.0,208.0,1329.0,1887.2,403,308,998d4d7f7bfee70fd23f5fa007efdfc8f83bcecf4b89dac4c964dda910ad1a53
2024-09-09,1045,464,461,627.0,242.0,1418.0,1973.0,423,313,a3215367bdf4ad8904f4b2911cc291d764334962cb8c14839d49758a00e54a05
2024-10-15,1068,492,489,595.0,196.0,1405.0,1986.4,423,316,df5aabd866f5ae3a5ec3573564594b3c697fd4593cb3d09c6e784a7b36d9d220
2024-11-25,1093,515,512,591.5,187.0,1331.0,2022.7,424,316,8c9986f7e94f9a9196e978718c81c65341083a5ce2ed04112c97e59f68e27575
2025-03-10,1138,543,540,520.5,158.5,1363.75,2098.0,475,315,a561f5cb532148faa441263d4d8e79c1898af08bf94c4e2de624b36e2caf2050
2025-05-05,1153,567,563,480.0,174.5,1372.0,2118.4,474,322,cb631bfe1b851fb2c7e0da7b07dd8f9f47abd3b97dba4c396d2fc923a5964911
2025-07-01,1174,592,588,458.5,158.0,1309.25,2141.1,504,333,2f751b7f04592d7c69d7926307109099031d44c5ad9992809d826b92b4b1638c
2025-09-01,1186,606,602,483.0,180.0,1158.75,2172.7,532,331,b0ba3cd7f6b9e038cd98267902aa740fba97f139fcdc14779f29a8eb01e6d4a2
2025-10-01,1203,620,616,477.0,192.5,1167.0,2198.0,551,337,e8aa67b710fd8a874b99667b2b7190112606dd53b9b42953fa5dc3b711b2cabb
2025-11-03,1218,638,634,419.0,189.25,1145.25,2213.0,557,351,4d0062782fae1f040bf9806a5d146c2264d95db6a06eaa8d0f59a9f4279ebd10
2025-12-01,1237,655,651,413.0,186.0,1137.0,2232.0,553,363,9b017d85f1ec366daad9036ded2d7cf67a84a8065886f915d9d6d6831951c24e
2026-01-19,1245,663,660,449.0,211.5,1162.75,2268.4,582,374,b9e868ae72607f686647b7968e73043a5fff407696e28c107031a42719791a1e
2026-02-16,1263,671,668,460.5,195.5,1162.75,2184.7,596,388,ec789d49811ad7d1b6aa93db5e61d9112af421780bb7abbc22ad4a0d562d3b39
2026-03-16,1273,653,651,493.0,208.5,1216.0,2296.0,586,397,5e546b445535b386967bb74d1783e4178c492b273f1457617b50d27d4da9dc9e
2026-04-20,1302,650,648,502.0,215.75,1225.75,2247.7,566,406,6ae9f5d04ef7d4d369f89819918526e17244f750f6829da3ca9cbdae1d95de2b
2026-05-25,1312,648,645,532.0,237.0,1257.0,2269.0,578,420,640426ab2699e2a5b8497c318cdf695fcdd9463c81f67778cf43e9f81598fdb9
2026-06-28,1327,661,659,523.0,236.5,1267.0,2298.4,591,428,565a71d89c4d684b68303949974a6c63410b9432eefe9f3773ac540a4318a07d
2026-08-03,1334,657,656,555.5,270.0,1306.0,2335.0,599,433,0d1ebcdaec25ea5a9f9dc859e2c68bea3ac72ceb988fed4eed4f8ba2ce338202
2026-09-15,1354,653,652,598.5,306.0,1351.0,2378.8,606,446,d4fc2fd9d7148a73c82fe6c216b741c291a7031c5c2979034612450a59a57817
