authority,register,source_key,reference_date,published_pending,age_assessable,median_days,p25_days,p75_days,p90_days,n_over_90,n_over_365,strict_linkable_age_n,strict_median_days
agrigento,agrigento-ordinary,agrigento-applicants,2026-09-04,306,305,554.0,256.0,1346.0,1990.8,278,201,299,555.0
brescia,brescia-ordinary,brescia-applicants,2026-09-10,1263,422,533.0,202.0,1224.0,1672.4,367,267,364,547.0
cagliari,cagliari-ordinary,cagliari-applicants,2026-09-06,51,51,60.0,31.0,112.5,185.0,14,4,50,61.0
catanzaro,catanzaro-ordinary,catanzaro-applicants,2026-09-10,277,274,517.0,199.75,1218.0,2679.3,254,165,222,572.0
cosenza,cosenza-ordinary,cosenza-combined,2026-08-03,657,656,555.5,270.0,1306.0,2335.0,599,433,474,556.5
lecce,lecce-ordinary,lecce-applicants,2026-09-09,90,90,148.5,112.0,204.0,1191.8,74,17,71,152.0
milano,milano-ordinary,milano-combined,2026-09-18,1147,1147,476.0,163.0,1230.5,1841.8,965,615,1147,476.0
modena,modena-post-sisma,modena-post-sisma-applicants,2026-09-16,430,430,574.0,413.25,1207.25,1990.1,423,329,416,574.0
modena,modena-provincial,modena-provincial-applicants,2026-09-16,502,502,414.5,209.0,727.0,1364.8,493,276,494,414.0
napoli,napoli-ordinary,napoli-applicants,2026-09-13,2530,2529,592.0,283.0,1234.0,2231.8,2391,1652,2518,592.0
parma,parma-ordinary,parma-operational,2026-09-05,235,235,187.0,115.0,268.5,627.0,192,36,225,185.0
perugia,perugia-ordinary,perugia-applicants,2026-09-03,176,175,160.0,85.0,304.5,1971.2,129,41,170,156.0
pisa,pisa-white-list,pisa-applicants,2026-09-08,18,18,57.5,43.0,92.5,316.0,5,2,18,57.5
pistoia,pistoia-ordinary,pistoia-applicants,2026-08-21,45,45,163.0,84.0,431.0,555.2,32,15,39,163.0
potenza,potenza-ordinary,potenza-combined,2026-09-20,376,376,334.5,194.75,496.25,735.0,336,163,376,334.5
roma,roma-ordinary,roma-applicants,2026-09-14,2256,2233,922.0,377.0,2070.0,2771.8,2154,1711,2027,780.0
siracusa,siracusa-ordinary,siracusa-applicants,2026-09-03,104,103,206.0,119.0,396.5,862.0,86,27,99,205.0
torino,torino-ordinary,torino-applicants,2026-09-11,162,162,101.0,66.25,233.5,709.5,94,28,142,109.0
trapani,trapani-ordinary,trapani-applicants,2026-09-11,222,222,457.0,137.75,659.75,937.6,188,123,222,457.0
